,Ef,rho,of,gtf,ea_mean,spec_heat_mean,heat_fus_mean,vdw_mean,atom_rad_mean,av_ionrad_mean,av_rsp_mean,x_mean,Ehull,Eg
1134,-2.886,7.21,0.696825397,0.90951527,1.11358976,0.6322,0.061985952000000004,1.974,1.095,1.2296,0.75715,2.5869999999999997,0.0,0.071
1135,-3.6239999999999997,7.881,0.759920635,0.8769080709999999,1.04078976,0.6224,0.072656752,1.985,1.11,1.2455,0.7664,2.517,0.0,3.388
1136,-3.24,7.382999999999999,0.627380952,0.948326578,0.90666976,0.7859999999999999,0.040696152,1.787,1.07,1.2121,0.6534,2.537,0.156,1.735
1137,-3.1210000000000004,7.1370000000000005,0.8257936509999999,0.8452700059999999,0.88593976,0.627,0.038986752,1.7919999999999998,1.12,1.2621,0.71015,2.549,0.0,1.848
1138,-3.0389999999999997,7.354,0.698015873,0.908877611,1.02468976,0.6461,0.049243152000000005,1.874,1.1,1.2299,0.7004,2.568,0.017,0.0
1139,-2.998,7.2860000000000005,0.7186507940000001,0.897965204,1.08198976,0.64244,0.046031552,1.774,1.1,1.2351,0.7014,2.57,0.008,0.322
1140,-3.167,7.311,0.731746032,0.891174908,0.97358976,0.6489,0.046756752,1.8780000000000001,1.105,1.2384,0.7049,2.563,0.0,0.537
1141,-3.063,6.84,0.6988095240000001,0.9084530009999999,1.08176096,0.6361399999999999,0.065404752,1.845,1.09,1.2301,0.6774,2.5810000000000004,0.145,0.616
1142,-2.9139999999999997,7.774,0.8873015870000001,0.817722308,0.90666976,0.61795,0.034832392000000004,1.7890000000000001,1.115,1.2776,0.7199,2.58,0.081,1.641
1143,-3.1839999999999997,7.377000000000001,0.766269841,0.873755852,0.98848976,0.6273,0.035837312,1.827,1.12,1.2471,0.7019,2.5580000000000003,0.0,0.968
1144,-3.2710000000000004,6.99,0.650396825,0.935101538,0.95658576,0.6519,0.046135152,1.879,1.105,1.2179,0.7104,2.535,0.0,1.043
1145,-3.056,7.38,0.6869047620000001,0.914864102,1.07408976,0.6485,0.050279152,1.797,1.1,1.2271,0.7084,2.571,0.0,1.646
1146,-3.05,7.324,0.838888889,0.839250603,0.99488976,0.6167,0.037401672000000004,1.8359999999999999,1.145,1.2654,0.7039,2.613,0.027999999999999997,1.178
1147,-3.5180000000000002,7.202999999999999,0.731349206,0.891379165,0.96638976,0.6559999999999999,0.051833152,1.88,1.105,1.2383,0.7284,2.5340000000000003,0.0,0.0
